0.00	28.000
0.01	27.973
0.02	27.892
0.03	27.759
0.04	27.579
0.05	27.356
0.06	27.096
0.07	26.806
0.08	26.490
0.09	26.156
0.10	25.807
0.11	25.448
0.12	25.083
0.13	24.714
0.14	24.344
0.15	23.973
0.16	23.604
0.17	23.237
0.18	22.872
0.19	22.510
0.20	22.150
0.22	21.438
0.24	20.737
0.25	20.390
0.26	20.046
0.28	19.365
0.30	18.696
0.32	18.040
0.34	17.398
0.35	17.084
0.36	16.773
0.38	16.165
0.40	15.576
0.42	15.008
0.44	14.461
0.45	14.196
0.46	13.937
0.48	13.435
0.50	12.956
0.55	11.862
0.60	10.909
0.65	10.090
0.70	9.392
0.80	8.301
0.90	7.519
1.00	6.944
1.10	6.495
1.20	6.118
1.30	5.776
1.40	5.451
1.50	5.133
1.60	4.819
1.70	4.511
1.80	4.211
1.90	3.922
2.00	3.647
2.50	2.543
3.00	1.878
3.50	1.512
4.00	1.306
5.00	1.069
6.00	0.892
